Country Name,Country Code,Series Name,Series Code,2020 [YR2020],データソース_dataset1,データソース_dataset2
Zambia,ZMB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,10.4,データセット1,データセット2
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,18137764930.651,,データセット2
Zimbabwe,ZWE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,30.5,データセット1,データセット2
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,26867936444.6826,,データセット2
,,,,,データセット1,データセット2
,,,,,データセット1,データセット2
,,,,,データセット1,データセット2
,,,,,データセット1,データセット2
,,,,,データセット1,データセット2
,,,,,データセット1,データセット2
,,,,,データセット1,データセット2
,,,,,データセット1,データセット2
,,,,,データセット1,データセット2
