Country Name,Country Code,Series Name,Series Code,2020 [YR2020],データソース_dataset1,データソース_dataset2
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,84304298770.5329,,データセット2
St. Kitts and Nevis,KNA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,883922222.222222,,データセット2
St. Lucia,LCA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,93.6,データセット1,データセット2
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1499296296.2963,,データセット2
St. Martin (French part),MAF,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,..,,データセット2
St. Vincent and the Grenadines,VCT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,91.8,データセット1,データセット2
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,869111111.111111,,データセット2
Sub-Saharan Africa,SSF,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,20.0056130092159,データセット1,データセット2
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1723193433652.91,,データセット2
Sub-Saharan Africa (IDA & IBRD countries),TSS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,20.0056130092159,データセット1,データセット2
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1723193433652.91,,データセット2
Sub-Saharan Africa (excluding high income),SSA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,19.998874799911,データセット1,データセット2
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1721810881901.34,,データセット2
Sudan,SDN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,61,データセット1,データセット2
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,27034593750,,データセット2
Suriname,SUR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,94.7,データセット1,データセット2
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,2911807496.20227,,データセット2
Sweden,SWE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,545147614972.141,,データセット2
Switzerland,CHE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,741999406005.627,,データセット2
Syrian Arab Republic,SYR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,92.5,データセット1,データセット2
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,12047752036.091,,データセット2
Tajikistan,TJK,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,84.3,データセット1,データセット2
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,8133963550.65742,,データセット2
Tanzania,TZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,7.2,データセット1,データセット2
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,66068737786.0639,,データセット2
Thailand,THA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,84.3,データセット1,データセット2
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,500461898480.246,,データセット2
Timor-Leste,TLS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,14.9,データセット1,データセット2
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,2162619200,,データセット2
Togo,TGO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,10.4,データセット1,データセット2
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,7400284167.78479,,データセット2
Tonga,TON,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,85.5,データセット1,データセット2
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,496856295.76752,,データセット2
Trinidad and Tobago,TTO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,20807716174.0546,,データセット2
Tunisia,TUN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.9,データセット1,データセット2
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,42491780918.361,,データセット2
Turkiye,TUR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,95.3,データセット1,データセット2
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,720338490327.248,,データセット2
Turkmenistan,TKM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.9,データセット1,データセット2
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,45818000000,,データセット2
Turks and Caicos Islands,TCA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,774653669.315186,,データセット2
Tuvalu,TUV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,73.8,データセット1,データセット2
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,51746594.3148543,,データセット2
