,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
61,C,A,20220101,2022,52,2022,56,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,15945050733.881,,15945050733.881,4,False,True
62,C,A,20230101,2023,52,2023,56,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,14237893001.577,,14237893001.577,4,False,True
63,C,A,20100101,2010,52,2010,124,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,43240159894.0,43240159894.0,0,True,False
64,C,A,20110101,2011,52,2011,124,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,48653536126.0,48653536126.0,0,True,False
65,C,A,20120101,2012,52,2012,124,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,50764771704.0,50764771704.0,0,True,False
66,C,A,20130101,2013,52,2013,124,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,51209844839.0,51209844839.0,0,True,False
67,C,A,20140101,2014,52,2014,124,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,53066195538.0,53066195538.0,0,True,False
68,C,A,20150101,2015,52,2015,124,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,51368522083.886,51368522083.886,0,False,True
74,C,A,20160101,2016,52,2016,124,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,48575917684.254,48575917684.254,0,False,True
80,C,A,20170101,2017,52,2017,124,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,0.0,54652257046.605,54652257046.605,0,False,True
86,C,A,20180101,2018,52,2018,124,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,0.0,58326303197.793,58326303197.793,0,False,True
92,C,A,20190101,2019,52,2019,124,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,0.0,56541202356.148,56541202356.148,0,False,True
98,C,A,20200101,2020,52,2020,124,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,57131037420.364,57131037420.364,0,False,True
