,period,reporterCode,primaryValue,debt_ratio,gdp_per_cap
95,2015,36,46292722371.0,46.4820384628409,56739.0265346593
96,2015,40,8755837829.701,97.3280357189943,43915.228020857
97,2015,56,7663941672.529,108.885649368795,40893.804537772
98,2015,124,51368522083.886,55.9915837788793,43594.1941045394
99,2015,208,6375315508.0,,53094.0133607574
100,2015,233,1262875980.0,13.3135753206017,17722.1557669523
101,2015,251,51871364118.0,100.312637185328,36702.4323733379
102,2015,300,2831346469.0,190.301552874834,17980.7298238137
103,2015,348,4776876860.0,96.3973535639551,12717.038597002
104,2015,352,414334776.0,117.370839587281,52951.6815110898
105,2015,372,4765502034.686,85.4579233139236,64311.8234684057
106,2015,392,160559698699.0,194.584061217143,34960.6393843385
107,2015,440,806015898.0,49.4373317773801,14300.2553666736
108,2015,554,7146236998.723,42.9302575989538,38639.3501941427
