country,date,UN_rGDP,WDI_rGDP,COM
JPN,2017,550904975.3129588,551331994.4302777,101831.086
JPN,2017,550904975.3129588,551331994.4302777,2424904.676
JPN,2017,550904975.3129588,551331994.4302777,26810.23
JPN,2017,550904975.3129588,551331994.4302777,2053768.613
JPN,2017,550904975.3129588,551331994.4302777,522869.018
JPN,2017,550904975.3129588,551331994.4302777,553073000.0
JPN,2017,550904975.3129588,551331994.4302777,269122.212
JPN,2017,550904975.3129588,551331994.4302777,20513100.0
JPN,2017,550904975.3129588,551331994.4302777,36547.571
JPN,2016,541827566.0593442,542247549.0681143,29144200.0
JPN,2016,541827566.0593442,542247549.0681143,183419.138
JPN,2016,541827566.0593442,542247549.0681143,45205700.0
JPN,2016,541827566.0593442,542247549.0681143,117449.76
JPN,2016,541827566.0593442,542247549.0681143,267291800.0
JPN,2016,541827566.0593442,542247549.0681143,523687.667
JPN,2016,541827566.0593442,542247549.0681143,53493100.0
JPN,2016,541827566.0593442,542247549.0681143,226699900.0
JPN,2016,541827566.0593442,542247549.0681143,415520.682
JPN,2016,541827566.0593442,542247549.0681143,2346700.0
JPN,2016,541827566.0593442,542247549.0681143,58230300.0
JPN,2016,541827566.0593442,542247549.0681143,12777700.0
JPN,2016,541827566.0593442,542247549.0681143,568591.332
JPN,2016,541827566.0593442,542247549.0681143,385507.694
JPN,2016,541827566.0593442,542247549.0681143,96168.04
JPN,2016,541827566.0593442,542247549.0681143,11330900.0
JPN,2016,541827566.0593442,542247549.0681143,491696.609
JPN,2016,541827566.0593442,542247549.0681143,2161523.407
JPN,2016,541827566.0593442,542247549.0681143,373111.664
JPN,2016,541827566.0593442,542247549.0681143,61858700.0
JPN,2016,541827566.0593442,542247549.0681143,-26100.0
JPN,2016,541827566.0593442,542247549.0681143,10462400.0
JPN,2016,541827566.0593442,542247549.0681143,-239.905
JPN,2016,541827566.0593442,542247549.0681143,56973500.0
JPN,2016,541827566.0593442,542247549.0681143,3265100.0
JPN,2016,541827566.0593442,542247549.0681143,4212600.0
JPN,2016,541827566.0593442,542247549.0681143,21570.341
JPN,2016,541827566.0593442,542247549.0681143,235158400.0
JPN,2016,541827566.0593442,542247549.0681143,40591900.0
JPN,2016,541827566.0593442,542247549.0681143,5003677.628
JPN,2016,541827566.0593442,542247549.0681143,41940500.0
JPN,2016,541827566.0593442,542247549.0681143,104151.098
JPN,2016,541827566.0593442,542247549.0681143,2456886.432
JPN,2016,541827566.0593442,542247549.0681143,30012.069
JPN,2016,541827566.0593442,542247549.0681143,2083774.767
JPN,2016,541827566.0593442,542247549.0681143,535239.891
JPN,2016,541827566.0593442,542247549.0681143,544364600.0
JPN,2016,541827566.0593442,542247549.0681143,267886.967
JPN,2016,541827566.0593442,542247549.0681143,19954700.0
JPN,2016,541827566.0593442,542247549.0681143,38721.277
JPN,2015,537773684.1957245,538190524.947144,27929200.0
JPN,2015,537773684.1957245,538190524.947144,163788.34
JPN,2015,537773684.1957245,538190524.947144,44861900.0
JPN,2015,537773684.1957245,538190524.947144,104671.833
JPN,2015,537773684.1957245,538190524.947144,260504900.0
JPN,2015,537773684.1957245,538190524.947144,461451.936
JPN,2015,537773684.1957245,538190524.947144,52387900.0
JPN,2015,537773684.1957245,538190524.947144,221088600.0
JPN,2015,537773684.1957245,538190524.947144,370624.653
JPN,2015,537773684.1957245,538190524.947144,2213400.0
JPN,2015,537773684.1957245,538190524.947144,56716400.0
JPN,2015,537773684.1957245,538190524.947144,12669900.0
JPN,2015,537773684.1957245,538190524.947144,498537.616
JPN,2015,537773684.1957245,538190524.947144,343373.411
JPN,2015,537773684.1957245,538190524.947144,81859.472
JPN,2015,537773684.1957245,538190524.947144,11183300.0
JPN,2015,537773684.1957245,538190524.947144,432800.377
JPN,2015,537773684.1957245,538190524.947144,1948980.949
JPN,2015,537773684.1957245,538190524.947144,325636.063
JPN,2015,537773684.1957245,538190524.947144,60345000.0
JPN,2015,537773684.1957245,538190524.947144,51600.0
JPN,2015,537773684.1957245,538190524.947144,9908600.0
JPN,2015,537773684.1957245,538190524.947144,426.291
JPN,2015,537773684.1957245,538190524.947144,55856000.0
JPN,2015,537773684.1957245,538190524.947144,3298600.0
JPN,2015,537773684.1957245,538190524.947144,3857600.0
JPN,2015,537773684.1957245,538190524.947144,18285.909
JPN,2015,537773684.1957245,538190524.947144,235912500.0
JPN,2015,537773684.1957245,538190524.947144,39416300.0
JPN,2015,537773684.1957245,538190524.947144,4444930.652
JPN,2015,537773684.1957245,538190524.947144,41563300.0
JPN,2015,537773684.1957245,538190524.947144,92390.351
JPN,2015,537773684.1957245,538190524.947144,2152150.001
JPN,2015,537773684.1957245,538190524.947144,27251.242
JPN,2015,537773684.1957245,538190524.947144,1826513.938
JPN,2015,537773684.1957245,538190524.947144,468560.094
JPN,2015,537773684.1957245,538190524.947144,538032300.0
JPN,2015,537773684.1957245,538190524.947144,230735.882
JPN,2015,537773684.1957245,538190524.947144,19825600.0
JPN,2015,537773684.1957245,538190524.947144,31869.396
JPN,2014,529510009.6231806,529920445.0107746,27685700.0
JPN,2014,529510009.6231806,529920445.0107746,188264.111
JPN,2014,529510009.6231806,529920445.0107746,41014600.0
JPN,2014,529510009.6231806,529920445.0107746,120428.773
JPN,2014,529510009.6231806,529920445.0107746,257408000.0
JPN,2014,529510009.6231806,529920445.0107746,514776.655
JPN,2014,529510009.6231806,529920445.0107746,51065000.0
