country,ISO3,year,gdp_per_capita
United Kingdom,GBR,2022,52836.0247301829
United Kingdom,GBR,2023,52582.0612138594
Greece,GRC,2000,31386.6397823871
Greece,GRC,2001,32675.9290840743
Greece,GRC,2002,34081.0288496165
Greece,GRC,2003,35970.7016466991
Greece,GRC,2004,37811.4913130884
Greece,GRC,2005,38146.9628219173
Greece,GRC,2006,40483.1568120089
Greece,GRC,2007,41796.2337470888
Greece,GRC,2008,41709.3876118794
Greece,GRC,2009,39886.2134611393
Greece,GRC,2010,37566.7482904511
Greece,GRC,2011,33906.4915655117
Greece,GRC,2012,31250.2267785089
Greece,GRC,2013,30762.4431700648
Greece,GRC,2014,31213.376451539
Greece,GRC,2015,31347.976492847
Greece,GRC,2016,31468.619625013
Greece,GRC,2017,31995.4107393778
Greece,GRC,2018,32722.3310423615
Greece,GRC,2019,33502.7506412729
Greece,GRC,2020,30487.1129350427
Greece,GRC,2021,33531.1551122601
Greece,GRC,2022,35906.6128241021
Greece,GRC,2023,36854.50424993
Guatemala,GTM,2000,8773.45415314278
Guatemala,GTM,2001,8774.20553347456
Guatemala,GTM,2002,8904.63200785651
Guatemala,GTM,2003,8929.25781077635
Guatemala,GTM,2004,9006.98844361059
Guatemala,GTM,2005,9102.88788119857
Guatemala,GTM,2006,9389.2652981631
Guatemala,GTM,2007,9776.20405934391
Guatemala,GTM,2008,9893.01137664653
Guatemala,GTM,2009,9744.09686850665
Guatemala,GTM,2010,9828.4345066177
Guatemala,GTM,2011,10035.5774720552
Guatemala,GTM,2012,10130.350149237
Guatemala,GTM,2013,10301.4208550491
Guatemala,GTM,2014,10557.2344165536
Guatemala,GTM,2015,10789.709472985
Guatemala,GTM,2016,10876.3751133674
Guatemala,GTM,2017,11009.2867444783
Guatemala,GTM,2018,11196.2643955264
Guatemala,GTM,2019,11470.3642213488
Guatemala,GTM,2020,11101.009623613
Guatemala,GTM,2021,11828.3300095601
Guatemala,GTM,2022,12153.0305986535
Guatemala,GTM,2023,12389.385871782
"Hong Kong SAR, China",HKG,2000,39848.6384665799
"Hong Kong SAR, China",HKG,2001,39777.9102673691
"Hong Kong SAR, China",HKG,2002,40258.2336201672
"Hong Kong SAR, China",HKG,2003,41570.6208550992
"Hong Kong SAR, China",HKG,2004,44836.2205849367
"Hong Kong SAR, China",HKG,2005,47938.9010059236
"Hong Kong SAR, China",HKG,2006,50981.7608155493
"Hong Kong SAR, China",HKG,2007,53813.0654478819
"Hong Kong SAR, China",HKG,2008,54630.3628034831
"Hong Kong SAR, China",HKG,2009,53172.2964199592
"Hong Kong SAR, China",HKG,2010,56355.4116835942
"Hong Kong SAR, China",HKG,2011,58672.831834577
"Hong Kong SAR, China",HKG,2012,59015.3256943722
"Hong Kong SAR, China",HKG,2013,60601.5928401808
"Hong Kong SAR, China",HKG,2014,61839.7914288728
"Hong Kong SAR, China",HKG,2015,62779.7273197166
"Hong Kong SAR, China",HKG,2016,63749.3896400503
"Hong Kong SAR, China",HKG,2017,65662.8109535245
"Hong Kong SAR, China",HKG,2018,66993.9270307538
"Hong Kong SAR, China",HKG,2019,65388.3300696863
"Hong Kong SAR, China",HKG,2020,61328.5494578461
"Hong Kong SAR, China",HKG,2021,65884.9376260603
"Hong Kong SAR, China",HKG,2022,64036.7870392668
"Hong Kong SAR, China",HKG,2023,64467.5756817829
Indonesia,IDN,2000,6056.38197842165
Indonesia,IDN,2001,6190.51954040991
Indonesia,IDN,2002,6381.94955179996
Indonesia,IDN,2003,6599.09193597034
Indonesia,IDN,2004,6843.54654972364
Indonesia,IDN,2005,7140.8545640704
Indonesia,IDN,2006,7434.48785352221
Indonesia,IDN,2007,7802.46406905954
Indonesia,IDN,2008,8165.06155116624
Indonesia,IDN,2009,8435.4557468629
Indonesia,IDN,2010,8848.22473702066
Indonesia,IDN,2011,9274.96955181702
Indonesia,IDN,2012,9708.61182531081
Indonesia,IDN,2013,10121.8141535043
Indonesia,IDN,2014,10504.3869411088
Indonesia,IDN,2015,10893.6621142169
